                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.51656,                0.50231,                 1.1023,                0.77631,                0.64149,                0.71819,                0.56919,                 1.0295,                 1.4033,                   1.73,               0.000307,               0.000307,               0.000307
                     72,                0.52042,                0.49434,                 1.1064,                0.71015,                0.68804,                0.72331,                0.57265,                 1.0089,                 1.3489,                 1.7056,              0.0002971,              0.0002971,              0.0002971
                     73,                0.51313,                0.48222,                 1.0888,                0.73455,                0.63368,                0.68713,                0.54985,                 1.0378,                 1.4114,                 1.7505,              0.0002872,              0.0002872,              0.0002872
                     74,                0.50156,                0.48833,                 1.0899,                0.77242,                0.65583,                0.71431,                0.57704,                 1.0186,                 1.3435,                 1.7121,              0.0002773,              0.0002773,              0.0002773
                     75,                0.50471,                0.47756,                 1.0751,                0.75631,                0.62623,                0.73341,                0.59476,                 1.0168,                   1.38,                 1.7064,              0.0002674,              0.0002674,              0.0002674
                     76,                 0.4972,                0.48637,                 1.0801,                0.81933,                0.61788,                0.71924,                0.57679,                 1.0234,                 1.3398,                 1.7428,              0.0002575,              0.0002575,              0.0002575
                     77,                0.50053,                0.47847,                 1.0739,                0.77707,                0.67034,                0.73738,                0.58779,                 1.0108,                 1.2255,                 1.7124,              0.0002476,              0.0002476,              0.0002476
                     78,                0.49086,                0.45714,                 1.0818,                0.75189,                0.68146,                 0.7218,                0.57592,                 1.0142,                 1.2859,                 1.7094,              0.0002377,              0.0002377,              0.0002377
                     79,                0.48415,                0.49266,                 1.0705,                0.80677,                0.65206,                0.73182,                0.58123,                 1.0038,                 1.2864,                 1.7072,              0.0002278,              0.0002278,              0.0002278
                     80,                0.48688,                0.46419,                 1.0704,                0.80449,                0.63847,                0.74077,                0.59163,                 1.0158,                  1.342,                 1.7249,              0.0002179,              0.0002179,              0.0002179
                     81,                0.49668,                0.47494,                 1.0849,                0.79195,                0.66331,                0.74098,                0.59572,                 1.0273,                 1.3317,                 1.7423,               0.000208,               0.000208,               0.000208
                     82,                0.47149,                0.45348,                 1.0822,                0.80362,                0.64525,                0.71233,                0.57269,                 1.0199,                 1.3857,                 1.7359,              0.0001981,              0.0001981,              0.0001981
                     83,                 0.5034,                0.47123,                 1.0845,                0.80787,                0.65543,                0.70903,                0.57042,                 1.0217,                 1.3629,                 1.7323,              0.0001882,              0.0001882,              0.0001882
                     84,                0.48653,                0.44501,                 1.0791,                0.78297,                0.64363,                0.70794,                0.57509,                0.99291,                  1.317,                 1.7118,              0.0001783,              0.0001783,              0.0001783
                     85,                0.49059,                0.46974,                 1.0682,                0.77261,                0.65128,                0.71813,                0.57253,                 1.0232,                 1.3608,                 1.7217,              0.0001684,              0.0001684,              0.0001684
                     86,                0.47498,                0.46316,                 1.0693,                0.76229,                0.68524,                0.72728,                0.57744,                 1.0269,                 1.3359,                 1.7427,              0.0001585,              0.0001585,              0.0001585
                     87,                0.45929,                0.44107,                 1.0483,                0.72672,                    0.7,                 0.7342,                0.58593,                0.99769,                  1.331,                 1.6933,              0.0001486,              0.0001486,              0.0001486
                     88,                0.47762,                0.46817,                  1.079,                0.72221,                0.68475,                0.72729,                0.58667,                 1.0179,                 1.3289,                 1.7263,              0.0001387,              0.0001387,              0.0001387
                     89,                0.46969,                 0.4412,                 1.0736,                0.80214,                0.65437,                0.74125,                0.58314,                 1.0188,                 1.3253,                 1.7384,              0.0001288,              0.0001288,              0.0001288
                     90,                0.37214,                0.32394,                0.96336,                0.78235,                0.66199,                0.72941,                0.58102,                 1.0449,                 1.2589,                  1.781,              0.0001189,              0.0001189,              0.0001189
                     91,                0.35256,                0.29228,                0.94977,                0.76348,                0.66299,                0.72844,                0.57775,                 1.0569,                 1.3262,                 1.7923,               0.000109,               0.000109,               0.000109
                     92,                0.35373,                0.30187,                0.95591,                0.79826,                0.66136,                0.73361,                0.58824,                 1.0384,                 1.2831,                 1.7655,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.33057,                0.28994,                0.93361,                0.76488,                0.67871,                0.72848,                0.57767,                 1.0535,                  1.334,                 1.7999,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.33362,                0.27218,                0.93417,                0.74804,                0.68271,                0.72844,                 0.5838,                 1.0284,                 1.3157,                 1.7792,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.33099,                0.28297,                0.93883,                0.77442,                0.64989,                0.73119,                0.57996,                 1.0243,                 1.2845,                 1.7757,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.32873,                0.28404,                0.93813,                0.78268,                 0.6494,                0.73485,                0.58381,                 1.0235,                 1.3355,                 1.7776,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.32622,                0.27762,                0.92628,                0.82652,                0.61916,                 0.7328,                0.58423,                 1.0346,                 1.3581,                 1.7929,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.34003,                0.27608,                0.94381,                0.81695,                0.61883,                0.73251,                0.58003,                 1.0309,                 1.3503,                 1.7856,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.33843,                0.29501,                 0.9531,                0.75867,                0.66264,                0.72601,                 0.5773,                 1.0263,                 1.3426,                 1.7918,               2.98e-05,               2.98e-05,               2.98e-05
